City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,konarka,19.9,86.1167,300.37,83,100,2.68,IN,1722886870
270,smithers,54.7804,-127.1743,295.33,35,40,3.6,CA,1722886748
271,klyuchi,52.2667,79.1667,291.63,67,46,2.72,RU,1722886872
272,paphos,34.7667,32.4167,300.03,69,0,2.06,CY,1722886873
273,haifa,32.8156,34.9892,301.6,72,0,0.45,IL,1722886874
274,mejit,10.2753,170.8646,301.48,79,100,6.75,MH,1722886875
275,dundee,56.5,-2.9667,292.42,90,40,3.09,GB,1722886876
276,acton,51.509,-0.2762,296.23,72,75,5.14,GB,1722886877
277,proletar,40.167,69.504,301.45,30,40,4.0,TJ,1722886879
278,ust'-ilimsk,58.0006,102.6619,285.63,70,6,1.11,RU,1722886867
279,berdigestyakh,62.0989,126.6992,285.92,95,100,1.92,RU,1722886881
280,modica,36.8459,14.774,298.72,75,0,0.33,IT,1722886882
281,powell river,49.8496,-124.5361,296.95,68,20,3.09,CA,1722886883
282,gizo,-8.103,156.8419,299.92,82,92,5.59,SB,1722886884
283,kodiak,57.79,-152.4072,285.88,100,100,6.69,US,1722886698
284,asau,46.4333,26.4,294.66,83,89,2.63,RO,1722886886
285,ust-nera,64.5667,143.2,286.43,62,100,2.04,RU,1722886887
286,port alfred,-33.5906,26.891,286.76,61,0,4.35,ZA,1722886889
287,tolanaro,-25.0319,46.9987,291.19,88,0,0.0,MG,1722886890
288,fort mcmurray,56.7268,-111.381,294.92,52,0,5.14,CA,1722886891
289,angaur state,6.906,134.13,301.91,73,100,4.62,PW,1722886892
290,bonthe,7.5264,-12.505,297.96,88,69,4.38,SL,1722886893
291,perros-guirec,48.8145,-3.4396,294.42,73,100,3.09,FR,1722886894
292,whitehorse,60.7161,-135.0538,294.83,39,0,6.17,CA,1722886895
293,balabac,7.9868,117.0645,300.14,81,100,4.1,PH,1722886896
294,behshahr,36.6923,53.5526,299.12,77,7,0.75,IR,1722886897
295,ingeniero jacobacci,-41.3427,-69.5448,282.38,43,97,7.63,AR,1722886898
296,mezhdurechensk,53.6942,88.0603,287.6,99,100,1.48,RU,1722886900
297,rebola,3.7167,8.8333,295.77,94,20,3.6,GQ,1722886902
298,sitka,57.0531,-135.33,294.09,60,20,0.0,US,1722886903
299,luau,-10.7073,22.2247,294.67,18,0,0.58,AO,1722886904
300,marica,-22.9194,-42.8186,305.12,74,0,4.16,BR,1722886713
301,lebu,-37.6167,-73.65,283.48,68,39,2.85,CL,1722886906
302,tazovsky,67.4667,78.7,280.1,73,99,4.9,RU,1722886907
303,al bawiti,28.3492,28.8659,303.29,22,32,1.97,EG,1722886909
304,kill devil hills,36.0307,-75.676,302.16,81,40,7.2,US,1722886910
305,caleta olivia,-46.4393,-67.5281,278.68,94,100,9.18,AR,1722886832
306,tochio-honcho,37.4667,139.0,299.01,92,66,0.39,JP,1722886912
307,geraldton,-28.7667,114.6,282.38,87,0,5.14,AU,1722886913
308,varna,43.2167,27.9167,296.73,73,1,1.54,BG,1722886914
309,morondava,-20.2833,44.2833,294.2,79,0,4.88,MG,1722886915
310,taksimo,56.3444,114.8794,288.68,81,97,1.55,RU,1722886916
311,agat village,13.3886,144.6585,299.67,88,0,0.0,GU,1722886917
312,kumburgaz,41.0211,28.4772,298.1,69,1,5.9,TR,1722886919
313,holualoa,19.6228,-155.9522,299.19,79,100,3.09,US,1722886920
314,nova sintra,14.8667,-24.7167,300.48,77,35,1.8,CV,1722886921
315,la foa,-21.7108,165.8276,288.97,73,1,0.82,NC,1722886923
316,malabar,-33.9667,151.25,283.59,82,20,3.6,AU,1722886924
317,grand falls-windsor,48.9332,-55.6649,301.76,70,100,5.0,CA,1722886925
318,furukawa,38.5717,140.9556,295.86,98,34,0.46,JP,1722886926
319,yelizovo,53.1873,158.3805,285.23,100,100,1.0,RU,1722886928
320,salinopolis,-0.6136,-47.3561,301.34,73,67,5.99,BR,1722886929
321,rundu,-17.9333,19.7667,290.61,19,0,2.89,NA,1722886930
322,lashio,22.9333,97.75,292.92,100,93,0.25,MM,1722886931
323,richards bay,-28.783,32.0377,288.93,71,0,0.89,ZA,1722886932
324,camargo,27.6667,-105.1667,306.2,25,30,2.16,MX,1722886933
325,sandpoint,48.2766,-116.5533,299.23,44,0,3.09,US,1722886934
326,alotau,-10.3069,150.4462,296.16,96,100,1.83,PG,1722886935
327,port mathurin,-19.6833,63.4167,295.68,76,12,8.71,MU,1722886936
328,mingguang,32.7802,117.9638,300.96,73,12,2.87,CN,1722886938
329,wynyard,-41.0,145.7167,281.55,89,49,3.7,AU,1722886939
330,maragogi,-9.0122,-35.2225,296.79,79,25,4.6,BR,1722886940
331,sur,22.5667,59.5289,303.81,59,100,4.2,OM,1722886941
